,zip,dunkin,other,starbucks,total,dunkin_prop,starbucks_prop,other_prop,total_prop,area
155,11370,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,1.49903
156,11371,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,1.09613
157,11372,6.00000,6.00000,1.00000,13.00000,0.46154,0.07692,0.46154,1.00000,0.72326
158,11373,4.00000,11.00000,2.00000,17.00000,0.23529,0.11765,0.64706,1.00000,1.53020
159,11374,3.00000,1.00000,2.00000,6.00000,0.50000,0.33333,0.16667,1.00000,0.90405
160,11375,6.00000,6.00000,4.00000,16.00000,0.37500,0.25000,0.37500,1.00000,1.99394
161,11377,5.00000,9.00000,1.00000,15.00000,0.33333,0.06667,0.60000,1.00000,2.57663
162,11378,2.00000,1.00000,0.00000,3.00000,0.66667,0.00000,0.33333,1.00000,2.37969
163,11379,4.00000,0.00000,0.00000,4.00000,1.00000,0.00000,0.00000,1.00000,2.06387
164,11385,7.00000,21.00000,2.00000,30.00000,0.23333,0.06667,0.70000,1.00000,4.48459
165,11412,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,1.67469
166,11414,3.00000,0.00000,1.00000,4.00000,0.75000,0.25000,0.00000,1.00000,2.29478
167,11415,2.00000,2.00000,0.00000,4.00000,0.50000,0.00000,0.50000,1.00000,0.60270
168,11416,1.00000,1.00000,0.00000,2.00000,0.50000,0.00000,0.50000,1.00000,0.67632
169,11417,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,1.11553
170,11418,2.00000,1.00000,1.00000,4.00000,0.50000,0.25000,0.25000,1.00000,1.14874
171,11419,3.00000,1.00000,0.00000,4.00000,0.75000,0.00000,0.25000,1.00000,1.12197
172,11420,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,2.21962
173,11421,2.00000,1.00000,0.00000,3.00000,0.66667,0.00000,0.33333,1.00000,0.87216
174,11422,2.00000,0.00000,2.00000,4.00000,0.50000,0.50000,0.00000,1.00000,2.15547
175,11423,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,1.61756
176,11426,1.00000,0.00000,1.00000,2.00000,0.50000,0.50000,0.00000,1.00000,1.77264
177,11427,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,1.41932
178,11428,1.00000,1.00000,0.00000,2.00000,0.50000,0.00000,0.50000,1.00000,0.78863
179,11429,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,1.41900
180,11430,9.00000,4.00000,5.00000,18.00000,0.50000,0.27778,0.22222,1.00000,7.17092
181,11432,7.00000,5.00000,1.00000,13.00000,0.53846,0.07692,0.38462,1.00000,2.15857
182,11433,0.00000,1.00000,1.00000,2.00000,0.00000,0.50000,0.50000,1.00000,1.71242
183,11434,3.00000,0.00000,0.00000,3.00000,1.00000,0.00000,0.00000,1.00000,3.13432
184,11435,3.00000,0.00000,1.00000,4.00000,0.75000,0.25000,0.00000,1.00000,1.51034
185,11436,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,0.81423
186,11691,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,3.01050
187,11692,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,0.86061
188,11693,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,2.28735
189,11694,2.00000,1.00000,0.00000,3.00000,0.66667,0.00000,0.33333,1.00000,1.72541
